disposition,period,duration,depth,radius,equilibrium_t,insolation,stellar_temp,stellar_radius,stellar_logg,midpoint,ra,dec,magnitude,distance,label
PC,3.7795212,2.952,2761.0,5.98375,1294.0,466.528,5771.0,1.18,4.31,2460037.172273,157.867112,-42.240448,10.2855,184.015,1
FP,1.2025238,1.991,390.0,6.31106,5952.0,208477.0,9158.0,1.74,4.32,2459331.124512,147.385172,-63.306478,9.0211,279.698,0
FP,3.2235985,2.159,680.0,5.51341,1175.80398775,2064.8,8904.0,2.17,4.09,2459273.371643,128.454638,-49.940347,8.7157,280.765,0
KP,4.0872956,5.586113,3572.1712499,13.6237732,1755.0767383,2242.3605401,6036.0,2.2186699,3.93359,2460150.608677,319.949697,-58.148933,9.8638,316.678,2
FP,2.55555,1.566,340.0,11.5901,2145.0,3520.68,10037.0,6.04,4.33418,2458520.65674,128.61421,-61.488262,8.3854,732.432,0
FP,8.30792,3.228,8350.0,43.1068,1924.0,2276.25,9081.0,3.05,3.83,2459261.801216,138.402252,-55.19791,8.0981,305.034,0
PC,0.758082,1.8184632,583.93181,10.1273702,5499.7476332,216218.1005011,9917.0,3.5086601,3.75,2459281.337956,141.975215,-61.33004,9.718,792.633,1
FP,1.4415577,2.349,507.0,3.61078,3174.0,16861.8,6902.0,1.52,4.25,2459985.770425,128.302319,-52.714202,9.5719,208.055,0
PC,1.0085089,1.642,3051.0,10.504179950000001,1175.80398775,355.909,5215.2,1.23,4.33418,2460037.194672,153.811023,-58.766393,10.0031,494.689,1
FP,3.7039994,4.277,7590.0,17.57,2149.0,3546.13,7013.8,1.9,4.21,2459301.544126,159.887704,-32.51188,9.6306,300.696,0
FP,1.3042553,1.706,914.0,9.36472,3569.0,26944.7,6762.0,1.75,4.11,2460177.867195,126.419468,-60.907514,10.0119,301.298,0
FP,0.62627,0.666,1880.0,5.72162,2101.0,3235.57,5622.0,0.93,4.5,2458544.79061,144.581535,-67.505097,10.2355,134.926,0
FP,0.30412,0.748,1330.0,10.417,6413.0,280833.0,11892.0,2.52,4.14,2458518.376,136.527702,-54.903922,8.802,440.426,0
KP,2.1805277,2.969175,16340.1353205,16.808853,1654.404068,1770.4650539,6599.0,1.2714601,4.21017,2459363.821393,253.768848,-28.710584,11.0657,314.995,2
KP,2.1846669,2.86528,11708.0228549,13.7028527,1549.4409801,1362.1381428,5630.0,1.23824,4.37759,2459084.58501,337.457824,-48.003099,9.4995,137.544,2
KP,3.7354838,4.142,17030.0,21.2315,1670.0,1292.19,6650.0,1.57,4.1639,2459355.54563,239.962248,-28.061794,11.0261,405.908,2
CP,9.139804,3.0912936,358.4157801,3.0629855,1006.9932829,243.011763,5958.2,1.58,4.34,2458332.941229,337.510274,-75.646561,9.0197,129.804,2
FP,5.742625,2.860293,1105.760867,13.088532,1175.80398775,355.909,5664.0,3.86959,3.26574,2458657.999179,290.977117,-33.351416,8.8849,263.729,0
CP,15.5077855,4.565,513.0,2.43432,853.0,88.0718,6122.0,1.17,4.30881,2460122.700139,302.114174,-54.317501,8.4362,88.4343,2
CP,17.4713078,4.4284819,1199.7541483,3.5766828,689.3568807,53.3700317,5783.54,0.974669,4.49925,2458661.062711,293.286615,-54.532728,8.0888,57.2651,2
PC,5.3079507,3.2158594,391.3830934,3.0486928,1263.9861129,603.2401116,6124.3,1.36963,4.38,2458326.062424,339.258703,-76.917605,9.6663,168.354,1
PC,51.1701501,6.6641048,851.4547808,2.9366826,466.7322968,11.2148229,5599.0,0.943356,4.46138,2458607.350901,127.996917,-78.407564,9.4091,98.2855,1
PC,11.1296441,7.0473822,951.6169809,12.8402271,1518.2372485,1255.6817164,5785.0,3.4475601,4.344,2458663.023129,288.911772,-31.790813,9.3781,338.831,1
PC,9.4496506,2.021,19750.0,17.0216,694.0,38.5799,5509.0,0.94,4.39758,2460106.337519,269.714503,-60.922727,9.7825,98.8783,1
KP,2.8493825,3.567,8049.0,16.3869,1864.0,2005.83,6900.0,1.77,4.438,2460201.638583,68.959816,-64.027039,10.3157,364.411,2
FP,0.540933,1.674337,257.347459,2.28501,1175.80398775,355.909,5525.0,1.21935,4.25342,2458654.253249,284.688908,-41.242483,9.7345,133.171,0
CP,4.1150576,1.08,487.0,2.30057,826.0,77.3573,5394.0,0.89,4.50942,2460177.200429,38.120968,-78.023683,9.478,82.1733,2
PC,10.0665238,2.4023189,839.9044871,2.7272824,694.1792631,54.8791715,5552.0,0.791742,4.61783,2458629.391681,230.555493,-83.056214,9.0689,61.1201,1
CP,6.4438657,1.9309449,1121.9512275,2.460344,712.2812841,60.831305,4803.0,0.737189,4.52079,2458656.668478,296.003935,-47.56203,10.0059,68.0726,2
CP,12.2265595,2.1904379,1206.3693293,2.6014766,575.3502049,25.8970378,4803.0,0.737189,4.52079,2458664.490132,296.003935,-47.56203,10.0059,68.0726,2
KP,2.160344,1.828854,19357.992992,22.503541,1175.80398775,355.909,5780.0,1.2,4.32928,2458654.347994,286.36675,-50.06735,13.2851,639.004,2
KP,4.606184,3.121643,13793.034867,12.962219,1175.80398775,355.909,5670.0,1.07,4.3925,2458657.832537,285.096517,-54.893341,11.9707,353.891,2
KP,3.1316735,2.4579197,14915.6943722,9.4995191,890.5622134,148.6544991,4351.0,0.76701,4.438,2458656.987874,288.672005,-59.57935,13.1686,263.609,2
KP,3.180362,2.111521,21192.463324,13.446487,1175.80398775,355.909,5498.0,0.92,4.47934,2458656.633231,284.399762,-49.138513,13.2887,535.383,2
KP,2.9776446,2.962,13022.0,14.4339,1461.0,758.324,5703.0,1.22,4.25824,2460147.378764,289.479212,-32.860124,10.4293,197.996,2
KP,3.9502008,4.444,13914.0,20.5357,1570.0,1009.38,6153.0,1.71,4.18077,2460176.993334,313.783239,-34.135751,9.6433,211.211,2
FP,2.9776152,3.25697,43218.111683,26.88423,1386.5,873.27,5740.0,1.28,4.29219,2458655.579241,289.478541,-32.861327,15.7114,370.553,0
KP,3.5544026,2.0550535,10164.8753396,13.200677,1214.9876435,515.0014435,5639.0,1.11499,4.37172,2458655.394059,280.184169,-58.459388,11.5803,290.198,2
FP,12.8379689,9.8464123,10539.0192794,25.4886382,1225.0,374.129,5765.0,2.4494,4.34773,2459211.732146,75.627307,-72.913998,11.7106,703.878,0
CP,3.9228016,1.8736007,31510.9004906,13.3368705,788.0973496,91.167589,4444.0,0.6983,4.438,2459036.472812,287.484402,-49.664942,13.6699,300.67,2
PC,13.9428705,3.7522756,1015.395543,2.4233421,587.1759148,28.0927293,5206.0,0.741671,4.63095,2458662.652685,310.761004,-72.010267,10.6339,107.356,1
CP,0.6047392,1.0403847,1027.6833479,1.8625587,1222.5973095,528.0253155,4046.0,0.580337,4.60963,2458654.249503,309.971209,-65.449699,11.1186,61.4592,2
KP,2.5495611,2.6173308,14921.4021936,12.9171288,1337.8645148,757.1284067,5659.0,1.03997,4.44653,2458654.163257,294.633694,-55.330269,11.2474,248.46,2
PC,1.6062693,1.9561305,16725.3019333,12.6436029,1374.8018137,844.2700581,5192.0,0.984326,4.4617,2458654.102739,173.810798,-88.096213,13.461,463.683,1
CP,0.5182425,0.8565249,831.8920424,1.3485121,1019.3295979,255.1405815,3325.0,0.390989,4.88693,2458654.10332,306.928646,-56.462287,10.1165,20.373,2
PC,3.1644075,2.0576293,5603.4635466,14.8814743,1747.9490013,2206.1550476,6519.0,1.7234,4.22068,2458656.380357,283.119492,-55.387928,13.1284,1179.27,1
KP,3.0440541,2.5984575,22236.0165376,12.1086799,1075.3184542,315.9871326,5523.0,0.809868,4.52192,2458328.08383,316.96148,-26.09672,13.163,421.855,2
PC,3.9652485,1.0112593,3680.7544436,1.2305102,386.6684768,5.2829448,3296.0,0.199988,4.96636,2458654.060577,276.368325,-52.214573,12.7067,25.559,1
PC,2.98278,3.109528,6136.231662,11.467011,1175.80398775,355.909,6027.0,1.23975,4.29978,2458654.026119,282.140409,-40.11177,11.5247,354.05,1
PC,16.3469053,3.5865698,2212.4257252,3.5059571,441.7489067,8.9995944,4310.0,0.649613,4.57345,2458626.085696,83.275809,-80.815478,11.8835,100.248,1
