period,duration,depth,radius,equilibrium_t,insolation,stellar_temp,stellar_radius,stellar_logg,midpoint,ra,dec,magnitude,distance,label
-0.159068999773161,-0.5836053163249912,-0.48800658037671935,-0.5285756885708953,2.7656544894822903,1.892124475514846,3.2189367501473662,0.4963525549238381,-0.42076407212280253,-0.5480286125606597,-0.6552229924297915,-0.29218019171154985,-1.2290283245710973,0.011522988029452903,0
-0.16151080582336627,0.030141462651057615,-0.44688623214828926,0.11965328497397447,4.1337892795544455,3.91455849362709,0.9302202523318627,0.3952614708461117,-0.9780325266962007,0.6875480336008715,-0.5564612859936369,-0.14157634145926015,-1.3402153395697487,-0.33477162965854335,1
-0.162163667664394,-0.9090866417280681,-0.43289869427081157,1.6254554588565475,1.140515376298776,0.06591700568917803,2.2650048974875543,2.7476875484711716,0.08140446400464875,-0.5560813221181177,-0.7289433304260909,-0.24781951122220466,-1.4165357175710662,0.8456919034119961,0
-0.15324333796913472,0.030675722096096876,-0.5058816144512455,0.03423301000696575,0.5353016289273609,-0.08979501509953888,-0.2803732648360422,-0.09798915833333624,-0.5600811857661521,-1.7476216222941658,-0.6725911194084315,-0.5545284263699344,-1.4160437014823202,13.220437680772305,0
-0.14479046671578732,0.13913038943907913,-0.48159362753586255,0.13117124537081087,4.454284244295466,4.859496648953147,2.477389725060871,0.48379363505780754,-0.5949104641769918,0.6860789819879782,-0.5603476027326606,-1.0493159492197546,-1.517525868472671,-0.22429359188355497,0
-0.1348320193787079,-0.24339937320907454,-0.2870753437817797,-0.37361207655057105,-0.022210542296553604,-0.16033929038435316,-0.11874481130990802,-0.18652132254503198,0.08140446400464875,0.6829988227496082,-0.5745819152645663,-0.2587459057898664,-1.520358501774586,-0.6906923816160632,0
-0.1556722678636457,0.678602229902037,-0.3825343928456831,-0.18304570429967845,0.5633592039457496,-0.036735663211845945,0.6033636024393686,0.09443550058078455,0.08140446400464875,-0.5474509496041692,-0.5392766110958314,-0.5978615896921453,-1.4540379351188777,-0.19854851584175992,0
-0.10989133262716592,0.4506036458970029,-0.3453131767202501,0.54719901407365,0.015056314068681324,-0.1571969279104652,0.5889646310784658,0.8315985658894698,-2.092569435842997,-0.518210212028721,-0.6514099541168635,-0.11954822792169172,-1.6763442282328742,-0.35769890019703915,1
-0.16032170405051552,-0.1830280559196313,-0.4993721803520959,-0.8434824067330956,-0.14324734733457778,0.3234364272554469,0.7779511301903153,0.11701752618078219,-0.38593479371196593,1.1279440790747859,-0.6839631002954111,0.2549338331710732,-1.640252785227386,-0.6111992614433741,0
-0.1612216882499193,-0.589318633404297,-0.4193276928982367,0.03423301000696575,0.2750666542612286,-0.10034242465051,2.2251917416746587,-0.09798915833333624,0.08140446400464875,-0.5486789271833356,-0.661887735325193,-0.5389082614161308,-1.950056657878148,0.7053268890787124,1
-0.16661722329539827,-0.7976404420485328,0.7083740841668571,0.3565041427004574,0.37863893327133635,-0.08018533546535864,-0.12810414269449485,-0.31250638645388423,0.6189247177191011,-2.0203551289303894,1.3386004190184049,-1.197549093142632,0.4969690410675856,-0.18987259300732953,2
-0.17425225085078586,-0.3451991446268134,-0.4323888230957687,-0.517354684973654,4.636186164535165,7.862395878146545,2.635058461462757,-0.2434348566811222,0.08140446400464875,-0.5492538039283498,-0.6558386568015512,-0.48377577211362105,-1.939120230173362,0.010404984939794333,0
-0.15602161202545953,-0.49076149626228005,-0.5146016024336487,-1.0536221294476436,0.13729160294665188,-0.14546216660162153,-0.26223056092130476,-0.28137721277184896,0.5196264449698045,0.6821367479628742,-0.6395040889341822,-0.7146287319914773,-2.0697046253916507,-0.7784018213954601,1
-0.1259189457639083,0.4563455458566185,0.44554706620801304,0.03423301000696575,-0.3497484889802929,-0.1734000372974914,2.2251917416746587,-0.09798915833333624,0.08140446400464875,-0.5437624904974241,-0.7042199816606216,-0.6955786169748556,-2.4572211768906063,0.05631606450908502,0
-0.1668296340236096,-1.1545789101495805,-0.34521445831214337,0.03423301000696575,0.5272788525857518,-0.04603357084948364,2.5407451990488434,-0.09798915833333624,0.08140446400464875,0.6838138073159356,-0.7402018722518688,-0.7435835958154711,-2.415039572286,-0.46460954149018063,0
-0.16720116612428235,-0.2878222446749265,-0.44587268902270105,3.8347710146308707,0.9546757949971634,0.09367114892019808,-0.6342279860302291,3.424079670011803,0.08140446400464875,0.6478912801489357,-0.5534132609237951,-0.612506031674909,-0.549873700944531,0.7789162963619646,0
-0.051928045434080486,2.570064343738436,-0.3196354044799861,0.46140092238173674,-0.1695919603187176,-0.15937866144344653,1.3125129419638326,0.0957761304959903,-0.002812731192757053,-0.5330366936081786,-0.6189647788928373,-0.7829108030940877,-0.5998758366218151,-0.2020265450293274,0
-0.16993965754545454,-0.3951290556002415,0.39574527278198957,1.3002021892979114,3.9563990432559275,3.451543607869368,0.8763680994420859,0.14231243024126672,-0.8387154130528511,-1.7059593641240376,-0.535729374936782,-0.8182433567872861,-0.6145316350099844,-0.13208113476587582,0
-0.13067043872753684,-0.32086699273977604,-0.04464647468100912,1.5244961521872997,0.21927868695016872,-0.13640085094897506,0.07996099347055095,0.3889377448309907,-1.570130259680437,-1.7486235501961302,-0.6614223279555513,-1.0800099027818413,-0.6000605735762873,-0.2168086250320725,0
-0.12786925550464492,0.3196106561796477,0.8283943055390509,1.6903404655213579,0.4515826569165901,-0.06423480388999685,1.3441906789578189,0.11197751654673063,-0.03764200960359366,-0.5434389935063577,-0.5799613052953243,-1.176720046698614,-0.5942721490028089,-0.14567408260800527,1
